"Freq [GHz]","dB(S(1,1)) [] - l4='-0.6mm' l5='-1.01mm' l6='-1.3mm' w4='0.21mm' w5='2mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1.01mm' l6='-1.3mm' w4='0.22mm' w5='2mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1.01mm' l6='-1.3mm' w4='0.21mm' w5='2mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1.01mm' l6='-1.3mm' w4='0.22mm' w5='2mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1.01mm' l6='-1.3mm' w4='0.21mm' w5='2.01mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1.01mm' l6='-1.3mm' w4='0.22mm' w5='2.01mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1.01mm' l6='-1.3mm' w4='0.21mm' w5='2.01mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1.01mm' l6='-1.3mm' w4='0.22mm' w5='2.01mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1mm' l6='-1.3mm' w4='0.21mm' w5='2mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1mm' l6='-1.3mm' w4='0.22mm' w5='2mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1mm' l6='-1.3mm' w4='0.21mm' w5='2mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1mm' l6='-1.3mm' w4='0.22mm' w5='2mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1mm' l6='-1.3mm' w4='0.21mm' w5='2.01mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1mm' l6='-1.3mm' w4='0.22mm' w5='2.01mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1mm' l6='-1.3mm' w4='0.21mm' w5='2.01mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1mm' l6='-1.3mm' w4='0.22mm' w5='2.01mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1.01mm' l6='-1.3mm' w4='0.21mm' w5='2mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1.01mm' l6='-1.3mm' w4='0.22mm' w5='2mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1.01mm' l6='-1.3mm' w4='0.21mm' w5='2mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1.01mm' l6='-1.3mm' w4='0.22mm' w5='2mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1.01mm' l6='-1.3mm' w4='0.21mm' w5='2.01mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1.01mm' l6='-1.3mm' w4='0.22mm' w5='2.01mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1.01mm' l6='-1.3mm' w4='0.21mm' w5='2.01mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1.01mm' l6='-1.3mm' w4='0.22mm' w5='2.01mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1mm' l6='-1.3mm' w4='0.21mm' w5='2mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1mm' l6='-1.3mm' w4='0.22mm' w5='2mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1mm' l6='-1.3mm' w4='0.21mm' w5='2mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1mm' l6='-1.3mm' w4='0.22mm' w5='2mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1mm' l6='-1.3mm' w4='0.21mm' w5='2.01mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1mm' l6='-1.3mm' w4='0.22mm' w5='2.01mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1mm' l6='-1.3mm' w4='0.21mm' w5='2.01mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1mm' l6='-1.3mm' w4='0.22mm' w5='2.01mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1.01mm' l6='-1.29mm' w4='0.21mm' w5='2mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1.01mm' l6='-1.29mm' w4='0.22mm' w5='2mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1.01mm' l6='-1.29mm' w4='0.21mm' w5='2mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1.01mm' l6='-1.29mm' w4='0.22mm' w5='2mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1.01mm' l6='-1.29mm' w4='0.21mm' w5='2.01mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1.01mm' l6='-1.29mm' w4='0.22mm' w5='2.01mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1.01mm' l6='-1.29mm' w4='0.21mm' w5='2.01mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1.01mm' l6='-1.29mm' w4='0.22mm' w5='2.01mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1mm' l6='-1.29mm' w4='0.21mm' w5='2mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1mm' l6='-1.29mm' w4='0.22mm' w5='2mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1mm' l6='-1.29mm' w4='0.21mm' w5='2mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1mm' l6='-1.29mm' w4='0.22mm' w5='2mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1mm' l6='-1.29mm' w4='0.21mm' w5='2.01mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1mm' l6='-1.29mm' w4='0.22mm' w5='2.01mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1mm' l6='-1.29mm' w4='0.21mm' w5='2.01mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1mm' l6='-1.29mm' w4='0.22mm' w5='2.01mm' w6='0.83mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1.01mm' l6='-1.29mm' w4='0.21mm' w5='2mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1.01mm' l6='-1.29mm' w4='0.22mm' w5='2mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1.01mm' l6='-1.29mm' w4='0.21mm' w5='2mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1.01mm' l6='-1.29mm' w4='0.22mm' w5='2mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1.01mm' l6='-1.29mm' w4='0.21mm' w5='2.01mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1.01mm' l6='-1.29mm' w4='0.22mm' w5='2.01mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1.01mm' l6='-1.29mm' w4='0.21mm' w5='2.01mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1.01mm' l6='-1.29mm' w4='0.22mm' w5='2.01mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1mm' l6='-1.29mm' w4='0.21mm' w5='2mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1mm' l6='-1.29mm' w4='0.22mm' w5='2mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1mm' l6='-1.29mm' w4='0.21mm' w5='2mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1mm' l6='-1.29mm' w4='0.22mm' w5='2mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1mm' l6='-1.29mm' w4='0.21mm' w5='2.01mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.6mm' l5='-1mm' l6='-1.29mm' w4='0.22mm' w5='2.01mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1mm' l6='-1.29mm' w4='0.21mm' w5='2.01mm' w6='0.84mm'","dB(S(1,1)) [] - l4='-0.59mm' l5='-1mm' l6='-1.29mm' w4='0.22mm' w5='2.01mm' w6='0.84mm'"
50,-0.453583897884587,-0.466175351348532,-0.448903364433489,-0.459768120277848,-0.455409005630955,-0.46417862786125,-0.447825616636955,-0.458117220830198,-0.445831791591442,-0.460118105021851,-0.441891690503764,-0.454530475908743,-0.447827083626107,-0.45908704886488,-0.442536133105474,-0.452019941683316,-0.455646875914539,-0.470036473306137,-0.4514073116577,-0.463999248536117,-0.455768636995146,-0.464471362368264,-0.44986760521329,-0.458627336542762,-0.451767228149535,-0.463149532280615,-0.44331059303303,-0.461003997200839,-0.450292111741389,-0.460167870466166,-0.444289475734345,-0.453309970416878,-0.451070776687591,-0.463958603119983,-0.445853523991174,-0.457836399324301,-0.45069268302158,-0.459707572589797,-0.446031788127634,-0.454677870001489,-0.444733178920795,-0.454811480655904,-0.439037175457937,-0.451348878598894,-0.444240073285432,-0.453222833805213,-0.437301372831015,-0.448556990411091,-0.453134389190306,-0.466448971207831,-0.446727338128634,-0.46087896551891,-0.451627617420511,-0.462832543472028,-0.448819128112609,-0.455137503804964,-0.44567981039401,-0.461151981876678,-0.443079064924079,-0.456691248885325,-0.445286540029756,-0.456015345538822,-0.440678158068467,-0.450935286233379
51,-0.530871998494303,-0.540177289842394,-0.526539800436916,-0.53233289887484,-0.534450034389876,-0.540406261411173,-0.525344042904641,-0.533866007407077,-0.519591021213463,-0.529556521081763,-0.514120016013492,-0.522083390811859,-0.520291948359096,-0.526124498278943,-0.514803152435071,-0.521293993859919,-0.532046695480645,-0.541999524179406,-0.52689143096241,-0.53659592386945,-0.531632523883051,-0.53849305057115,-0.525818496600767,-0.531673691973779,-0.523671557251924,-0.529143827864694,-0.515071851553662,-0.5251009403547,-0.522674472393919,-0.529094510173612,-0.515826314932933,-0.522144969217501,-0.525394404249937,-0.533302607248569,-0.519340251726585,-0.527187247396194,-0.525367534017474,-0.531803558527154,-0.519991310756265,-0.526445435190455,-0.515752670974241,-0.523037379684904,-0.509695974271466,-0.518734388767874,-0.51237753466135,-0.519818886328186,-0.504538372767393,-0.514624629761026,-0.526342591918161,-0.534048152323712,-0.520005196207407,-0.527946081466347,-0.526294748678835,-0.534624624634505,-0.521265604563933,-0.526092817703811,-0.516776045758172,-0.527058560182572,-0.512576895785077,-0.522010566216282,-0.513580310774508,-0.521036513543526,-0.510220364682103,-0.517200188504076
52,-0.635135102055664,-0.645144120844192,-0.631627993649991,-0.635567512256733,-0.640171762882074,-0.645753285703552,-0.629286046752419,-0.638498260335093,-0.618138378967446,-0.629057991163995,-0.612015113952056,-0.620063298902577,-0.618559286371503,-0.624281085993308,-0.612754683482697,-0.619892841326674,-0.635991274036414,-0.646369319768329,-0.631337695868102,-0.641664230391954,-0.637830104487432,-0.645022354988972,-0.630146926866258,-0.636955467709989,-0.621758712118539,-0.627556007814178,-0.613081527368332,-0.621951377939513,-0.621223824210256,-0.629069814897389,-0.614156686612156,-0.621801212695826,-0.626288171812433,-0.634006071890695,-0.619294463802019,-0.627541595580732,-0.626144372246451,-0.633864558027377,-0.620383524899224,-0.628000863550557,-0.610580844943018,-0.617149383299845,-0.604033649870987,-0.612514876111466,-0.608185721023428,-0.615730046930903,-0.599509899465327,-0.610315666841113,-0.627136649280775,-0.634898063725842,-0.620337060670842,-0.628225755878424,-0.627910835933552,-0.63741978393794,-0.621519194639935,-0.627838232021171,-0.611929248742209,-0.621192223875738,-0.60693658102693,-0.615767681796109,-0.609826335387877,-0.616046541594114,-0.604929273181333,-0.612733564754687
53,-0.780198700855105,-0.79439018266288,-0.77811663478141,-0.782934711415258,-0.787047434777037,-0.794463339332562,-0.773854080611116,-0.786005156278812,-0.753055077021622,-0.769270618075876,-0.747522942544936,-0.758911427615575,-0.754631518553659,-0.76370283197577,-0.748375109997585,-0.758697398679896,-0.781712121335347,-0.796456808630607,-0.778521778992616,-0.792934658099846,-0.787571579787698,-0.797311420065123,-0.777243493042926,-0.786935409246371,-0.757978218853896,-0.768591801181757,-0.749034376825913,-0.761918913628468,-0.757710368951809,-0.770628939918511,-0.751150596805494,-0.763008259295119,-0.7660377818024,-0.776774748919416,-0.758094576257428,-0.769891848585297,-0.765566217165013,-0.777401589911312,-0.75965544993075,-0.770964762364731,-0.739705993604243,-0.748811207680198,-0.732200240411462,-0.744346149604601,-0.74062067638088,-0.75033610414058,-0.731110011175666,-0.745192347246498,-0.767588485364562,-0.779238797409985,-0.760111180735198,-0.771904243609349,-0.768956624429982,-0.782201229187449,-0.761491149330495,-0.771831712281722,-0.741917281008096,-0.753514706859878,-0.736174896174192,-0.748185785697608,-0.743165273369932,-0.750260008957151,-0.735105887596004,-0.747305267579335
54,-0.991158411059748,-1.01198897935802,-0.991447762350587,-0.998766898086058,-1.00118865507469,-1.01242027646511,-0.984815973505744,-1.00202375673543,-0.945951423048551,-0.97048707468362,-0.94174056848313,-0.958655966684267,-0.949908379873104,-0.963636012620806,-0.942852776812475,-0.958272561551184,-0.994035808952653,-1.0166095682593,-0.99322145465253,-1.01556363788581,-1.0052177809514,-1.01991420479907,-0.992168230311032,-1.00573321663257,-0.954210273188436,-0.971582682113857,-0.943887748183811,-0.964618402690106,-0.953244895590375,-0.974508662662468,-0.948416369904284,-0.966712836596438,-0.966398327830909,-0.982134520531339,-0.957705055068668,-0.975159176863008,-0.965755183143155,-0.984095267012314,-0.959891951564796,-0.977190002521573,-0.922435470028612,-0.936807016948198,-0.91306794569593,-0.933026821913546,-0.926887330619608,-0.941117342050363,-0.916374436092384,-0.937047290902181,-0.969690935756322,-0.987602135737252,-0.961229642615176,-0.979363000246128,-0.971857082703025,-0.990284238524364,-0.963165156489163,-0.980140011529015,-0.926592052011159,-0.942857598361579,-0.919370457403981,-0.938467540993021,-0.931059312392625,-0.940986141141351,-0.919415870478183,-0.939437890754674
55,-1.31593828280806,-1.3449750688223,-1.32028901068707,-1.33060963801746,-1.3322852308209,-1.34907713326654,-1.31128464224185,-1.33561119651641,-1.23755336508344,-1.27255202013093,-1.23446927981375,-1.2587577514532,-1.24517580868423,-1.26264951298629,-1.23626357724411,-1.2587407422838,-1.3206470351925,-1.35475590158549,-1.32390819692006,-1.35917927687113,-1.33938317595111,-1.36181432717996,-1.3235562852507,-1.34152959370969,-1.2520294859165,-1.27513380379633,-1.23736433384376,-1.26926164132212,-1.24800304027361,-1.28212791341354,-1.2474487267432,-1.27450266978957,-1.26851717331979,-1.29076066400681,-1.25972767855087,-1.28469324937512,-1.26863782984667,-1.29628356873763,-1.26298222666115,-1.28932669658244,-1.19449144466115,-1.21547637148485,-1.18147129617279,-1.21300311252094,-1.20110296080087,-1.22253779685291,-1.18917658623187,-1.22090887386329,-1.27566389708594,-1.30162870611472,-1.26519943058819,-1.2917958955236,-1.27946199832936,-1.3038295163172,-1.26904507120553,-1.296327853959,-1.20273591620446,-1.22489742984633,-1.19237496232152,-1.22288812787407,-1.20809799922245,-1.22238988093449,-1.19301143442434,-1.22530536233721
56,-1.85588078241512,-1.89408144583438,-1.86755081324249,-1.88033984568167,-1.8856235661136,-1.90896772545942,-1.85725045180041,-1.89028081905075,-1.71139240665296,-1.75948795248022,-1.70869163391817,-1.74240305963754,-1.72635077987499,-1.74380565838051,-1.71248775910984,-1.7444665609097,-1.86342353725335,-1.91398578224202,-1.87509285356876,-1.93083596972283,-1.89653319818571,-1.92977264081434,-1.87666649921603,-1.89806727543195,-1.73792767687341,-1.76188779400356,-1.71214142376813,-1.75992809923329,-1.72624271769423,-1.78165493649,-1.73557027659204,-1.7745275859686,-1.75832640190549,-1.78875305794026,-1.75107573305505,-1.78602726124148,-1.76228566170747,-1.80331113201981,-1.75662328734728,-1.79741711340948,-1.62753032633704,-1.65519361577816,-1.60664127089006,-1.65497675391399,-1.63538537772531,-1.66753359236175,-1.62137905218015,-1.67079552680896,-1.77416891855876,-1.81057545465787,-1.75882083470007,-1.79708137956894,-1.78201233463163,-1.81202715204718,-1.7687206370047,-1.81273571383175,-1.64434500173804,-1.67204307243429,-1.62719129920392,-1.67500114479265,-1.64738972726219,-1.66658014120521,-1.62785893556162,-1.68050510183832
57,-2.8539941983811,-2.89980757231783,-2.87994180779544,-2.89134135661417,-2.91557088057264,-2.94242661692329,-2.87352422488341,-2.91326098850165,-2.56150191465469,-2.62722187077875,-2.55890009935412,-2.60285699542369,-2.59705662242947,-2.60367293359103,-2.56911028835643,-2.61218240395073,-2.86712603648349,-2.94093600764808,-2.89906498048517,-2.9875763738328,-2.93713788147371,-2.98274616129741,-2.90751496700634,-2.92341224708302,-2.61456690578437,-2.62569242534659,-2.56103392722193,-2.63414268353836,-2.58653928050075,-2.68007173870556,-2.61867064222595,-2.6730140506752,-2.63735124464354,-2.67629699166329,-2.63548267260717,-2.68300042654836,-2.65497963270536,-2.71455576593504,-2.64695688333266,-2.71273354811435,-2.38374990652742,-2.41700859196159,-2.34347583865589,-2.42076727982442,-2.39686199419806,-2.44521920564608,-2.3799993384295,-2.45799149975753,-2.67342025023624,-2.72360297631095,-2.64542842906165,-2.69984314354587,-2.69300153552816,-2.7233855739029,-2.67306193629743,-2.74609854015181,-2.41953835247357,-2.44794571857991,-2.38571853230778,-2.46091376473438,-2.41824666094269,-2.43989795357729,-2.38823495366345,-2.47872898260336
58,-4.98202678235775,-5.01751708721763,-5.03969136220327,-5.02712585894999,-5.13386375750927,-5.1407607731972,-5.06004328437243,-5.08502369327193,-4.30788535034568,-4.39375794758636,-4.3050624930145,-4.3478120000216,-4.408911241303,-4.36678041006274,-4.33756913535804,-4.38282169195658,-5.00552282163526,-5.10828632325143,-5.09325580271772,-5.23382130210145,-5.19109258686113,-5.23831318103548,-5.12946391652197,-5.09469610476711,-4.42627047375477,-4.37773472733115,-4.29605314440493,-4.41337985428331,-4.36312991451038,-4.52878058979912,-4.45072334852175,-4.51731876328723,-4.44432881728992,-4.47850251674261,-4.4570319424817,-4.51163381613588,-4.50942138798704,-4.58776692253107,-4.48651632124303,-4.59912052079762,-3.88446203315486,-3.91632653610762,-3.78947994750078,-3.92720943198106,-3.92125646032164,-3.99559447445832,-3.90124439349047,-4.02683958057,-4.5305593079496,-4.59306040863311,-4.46662680835862,-4.53587705171521,-4.58930591090605,-4.59134795462373,-4.54734384496813,-4.674411435938,-3.9666774632066,-3.97348243954945,-3.88484462471446,-4.006999584706,-3.96129346804613,-3.97198152355735,-3.89953137578186,-4.06921881071601
59,-10.5876007895659,-10.503467738197,-10.7424362876097,-10.5759435312994,-11.0920294181636,-10.9473113078038,-10.9042327130187,-10.789740397715,-8.63940088149283,-8.71446121239421,-8.6225650372858,-8.58310893928679,-8.97490920701373,-8.71793066011164,-8.74400678444847,-8.72402722168874,-10.6239868638572,-10.7460688227221,-10.9151453485125,-11.1497093744274,-11.2859792100352,-11.2573844674339,-11.0799563828338,-10.7596437449657,-8.94968240176408,-8.63655531287714,-8.55188273389556,-8.75322207334906,-8.79250000361005,-9.11991591165107,-9.04263896174844,-9.07751563624021,-8.92304651364893,-8.86008551280376,-8.97586237817249,-8.98024786530833,-9.17348232777833,-9.23721120366266,-9.07142608522043,-9.29677265377423,-7.42406044530383,-7.41019868107533,-7.14689806605032,-7.43264895430814,-7.54588504577579,-7.66718513110307,-7.52390345969235,-7.7353048451246,-9.1600101558585,-9.19394257235529,-8.96763786155977,-9.00277301312933,-9.37551790790289,-9.20961149708172,-9.23562473284791,-9.48975234531079,-7.64187983967065,-7.52878197268789,-7.39393757797871,-7.60717867943187,-7.62612801394467,-7.56573441496246,-7.45867368261939,-7.82664937087413
